Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.33u,C_0603_1608Metric,191.35,-99.575,-90,top
C2,0.33u,C_0603_1608Metric,192.925,-81.8,180,top
C3,10u,C_0603_1608Metric,199,-120.425,90,top
C4,10u,C_0603_1608Metric,191.3,-120.4,90,top
C5,1n,C_0603_1608Metric,197.65,-100.6,180,top
C6,0.1u,C_0603_1608Metric,196.075,-72.325,180,top
C7,0.1u,C_0603_1608Metric,196.05,-81,-90,top
C8,10n,C_0603_1608Metric,194.225,-92.15,180,top
C9,1.5n,C_0603_1608Metric,198.45,-91.325,-90,top
C10,0.1u,C_0603_1608Metric,192.625,-57.9,-90,top
D1,SM4007,D_SOD-123,195.375,-120.075,180,top
R1,0,R_0603_1608Metric,191.35,-110.5,90,top
R2,DNP,R_0603_1608Metric,191.35,-102.675,90,top
R3,1.4M,R_0603_1608Metric,192.975,-77.15,180,top
R4,10M,R_0603_1608Metric,192.125,-105.075,180,top
R5,10M,R_0603_1608Metric,192.125,-108.2,180,top
R7,10M,R_0603_1608Metric,192.975,-78.725,180,top
R8,180k,R_0603_1608Metric,198.4,-105.1,0,top
R9,10M,R_0603_1608Metric,193.525,-80.275,0,top
R10,180k,R_0603_1608Metric,198.4,-108.2,0,top
R11,10M,R_0603_1608Metric,196.075,-75.475,0,top
R12,10M,R_0603_1608Metric,196.075,-73.9,0,top
R13,360k,R_0603_1608Metric,197.65,-99.05,0,top
R14,1M,R_0603_1608Metric,191.675,-91.375,-90,top
R15,1M,R_0603_1608Metric,192.625,-93.7,0,top
R16,0,R_0603_1608Metric,197.6,-81,-90,top
R17,100k,R_0603_1608Metric,195.95,-90.6,0,top
R18,10k,R_0603_1608Metric,198.325,-84.725,90,top
R19,DNP,R_0603_1608Metric,199.15,-81,-90,top
R20,1M,R_0603_1608Metric,197.625,-89.025,0,top
R21,220,R_0603_1608Metric,192.65,-61.025,90,top
R22,10k,R_0603_1608Metric,196.85,-65.6,180,top
R23,5k,R_0603_1608Metric,193.8,-65.6,180,top
U1,LM1117-3.3,SOT-223-3_TabPin2,195.025,-114.3,90,top
U2,AD8232,LFCSP_20,195.075,-85.225,0,top
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,196.175,-61.05,90,top
