Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C24, C29, C3, C32, C33, C36, C37, C4, C5, C6, C7, C8, C9",0603,25,100n,C14663
"C10, C11, C47, C48",0603,4,1u,C15849
"C22, C25",0603,2,27p,C107045
"C23, C26",0603,2,18p,C1647
C27,0603,1,4.7u,C19666
C28,0603,1,22n,C21122
"C30, C31",0603,2,6.8n,C1631
"C34, C35, C43, C44, C45, C46",0603,6,10u,C96446
"C38, C39, C40, C41, C42",0603,5,470p,C1620
D1,0603,1,LED,C2286
"D3, D5",D_SOD-123,2,SM4007,C64898
FB1,0603,1,FerriteBead,C1002
J14,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"R1, R10, R11, R14, R15, R18, R19, R4, R6, R7",0603,10,100k,C25803
"R12, R16, R20, R3, R8",0603,5,27k,C22967
"R13, R17, R2, R5, R9",0603,5,75k,C23242
R21,0603,1,2k,C22975
"R22, R24, R52, R57, R59",0603,5,4.7k,C23162
"R23, R25",0603,2,3.3k,C22978
"R45, R46",0603,2,27,C25190
"R51, R54",0603,2,5.1k,C23186
"R53, R55, R56, R58",0603,4,4.7,C23164
"R60, R61, R62, R63",0603,4,49.9,C23185
R68,0603,1,1M,C22935
"R69, R73, R77, R78",0603,4,1k,C21190
"R70, R71",0603,2,470,C23179
R72,0603,1,10,C22859
R74,0603,1,12.4k,C22865
"SW2, SW3",SW_SPST_TL3342,2,SW_Push,C318884
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,MCP3208,C16939
"U2, U3, U8",SOIC-8_3.9x4.9mm_P1.27mm,3,MCP6002-xSN,C7377
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
U7,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U9,SOT-23,1,LM4040-5V,C206488
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
