Designator,Mid X,Mid Y,Rotation,Layer
C1,66.3,-74.6,0.0,top
C10,48.8,-72.7,180.0,top
C11,48.8,-71.2,180.0,top
C12,45.5,-137.6,180.0,top
C13,45.5,-134.6,180.0,top
C14,45.5,-136.1,180.0,top
C15,58.1,-127.425,90.0,top
C16,62.6,-133.8,0.0,top
C17,56.7,-143.3,270.0,top
C18,53.8,-146.0,270.0,top
C19,59.7,-143.3,270.0,top
C2,52.1,-82.5,270.0,top
C20,62.6,-138.3,0.0,top
C21,62.6,-136.8,0.0,top
C22,66.3,-84.9,180.0,top
C23,55.2,-123.05,0.0,top
C24,58.7,-153.5,90.0,top
C25,66.3,-77.6,180.0,top
C26,52.3,-125.6,90.0,top
C27,62.6,-135.3,0.0,top
C28,45.5,-158.1,270.0,top
C29,62.6,-132.3,0.0,top
C3,66.3,-76.1,0.0,top
C30,53.6,-153.5,270.0,top
C31,55.7,-153.5,90.0,top
C32,53.1,-62.5,0.0,top
C33,67.1,-96.7,270.0,top
C34,66.025,-131.1,180.0,top
C35,61.9,-72.2,90.0,top
C36,57.0,-103.3,270.0,top
C37,54.7,-119.125,180.0,top
C38,43.375,-63.205,270.0,top
C39,52.4,-64.8,270.0,top
C4,60.4,-72.2,90.0,top
C40,55.3,-93.6,180.0,top
C41,54.7,-102.6,180.0,top
C42,54.7,-110.125,180.0,top
C44,41.5,-60.2,180.0,top
C45,41.5,-58.7,180.0,top
C47,64.6,-123.2,180.0,top
C48,64.6,-121.7,180.0,top
C49,59.95,-65.15,90.0,top
C5,50.6,-82.5,270.0,top
C6,48.8,-80.2,180.0,top
C7,58.1,-84.425,270.0,top
C8,55.5,-72.2,90.0,top
C9,56.6,-84.425,270.0,top
D1,58.5,-72.2,270.0,top
D3,66.2,-55.4,90.0,top
D5,41.8,-55.4,270.0,top
FB1,45.5,-139.1,180.0,top
J1,40.22,-69.02,270.0,bottom
J14,43.575,-76.1,270.0,top
J16,53.7,-150.0,180.0,bottom
J2,67.18,-69.02,90.0,bottom
J3,60.7,-127.98,180.0,bottom
J4,60.7,-97.98,180.0,bottom
J5,60.7,-112.98,180.0,bottom
J6,48.92,-58.0,90.0,top
R1,42.6,-65.5,180.0,top
R10,55.3,-89.1,180.0,top
R11,55.3,-90.6,180.0,top
R12,55.3,-92.1,0.0,top
R13,64.2,-100.5,0.0,top
R14,55.6,-105.6,180.0,top
R15,57.6,-100.3,90.0,top
R16,54.7,-104.1,0.0,top
R17,64.0,-114.9,0.0,top
R18,55.6,-107.1,180.0,top
R19,57.7,-115.3,90.0,top
R2,42.6,-67.0,180.0,top
R20,54.7,-108.625,0.0,top
R21,66.9,-122.4,90.0,top
R22,41.1,-132.7,0.0,top
R23,41.1,-131.2,180.0,top
R24,41.1,-128.2,0.0,top
R25,41.1,-129.7,180.0,top
R3,41.875,-63.205,90.0,top
R4,40.4,-63.2,270.0,top
R45,48.8,-77.2,0.0,top
R46,48.8,-75.7,0.0,top
R5,53.7,-69.4,270.0,top
R51,48.8,-74.2,180.0,top
R52,50.8,-125.6,270.0,top
R53,52.8,-149.4,270.0,top
R54,48.8,-78.7,180.0,top
R55,51.3,-149.4,90.0,top
R56,55.8,-149.4,270.0,top
R57,49.3,-125.6,270.0,top
R58,54.3,-149.4,90.0,top
R59,45.5,-133.1,0.0,top
R6,55.4,-64.8,270.0,top
R60,50.0,-153.5,90.0,top
R61,48.5,-153.5,90.0,top
R62,57.2,-153.5,270.0,top
R63,52.1,-153.5,270.0,top
R68,55.2,-128.15,0.0,top
R69,66.3,-79.1,0.0,top
R7,54.7,-67.1,180.0,top
R70,48.6,-143.3,0.0,top
R71,61.2,-143.3,270.0,top
R72,47.0,-158.1,90.0,top
R73,41.7,-138.8,180.0,top
R74,58.2,-143.3,90.0,top
R77,57.0,-72.2,90.0,top
R78,41.7,-150.4,180.0,top
R8,53.9,-64.8,90.0,top
R9,64.2,-98.9,0.0,top
RV1,49.2,-99.0,90.0,bottom
RV2,49.2,-114.0,90.0,bottom
RV3,49.2,-129.0,90.0,bottom
SW2,41.7,-145.3,270.0,top
SW3,41.7,-156.7,270.0,top
U1,44.5,-85.4,90.0,top
U10,66.0075,-133.6,270.0,bottom
U2,47.9,-64.5,0.0,top
U3,54.1,-98.1,270.0,top
U4,59.0375,-78.7,90.0,top
U5,53.7,-136.0,90.0,top
U7,65.2,-90.5,270.0,top
U8,54.1,-114.6,270.0,top
U9,65.4,-118.9,90.0,top
Y1,66.25,-82.0,270.0,top
Y2,55.2,-125.6,180.0,top
