Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C8",CP_Radial_D6.3mm_P2.50mm,6,10u,
"C10, C11, C12, C13, C14, C9",C_Disc_D6.0mm_W2.5mm_P5.00mm,6,100n,
C15,C_Disc_D6.0mm_W2.5mm_P5.00mm,1,1u,
C17,C_Disc_D6.0mm_W2.5mm_P5.00mm,1,10n,
"C6, C7",CP_Radial_D10.0mm_P2.50mm,2,100u,
"D1, D2, D3",LED_D3.0mm,3,LED,
D4,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
"HS1, HS2",SK64,2,Heatsink,
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J3, J4, J5, J6, J7, J8, J9",SPADE,20,Conn_01x01,
J21,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
M1,FanPinHeader_1x03_P2.54mm_Vertical,1,Fan_PC_Chassis,
PS1,Converter_ACDC_MeanWell_IRM-20-xx_THT,1,IRM-20-5,
"PS2, PS3",Converter_ACDC_MeanWell_IRM-60-xx_THT,2,IRM-60-15,
Q2,TO-220-3_Vertical,1,IRLB8721PBF,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,120,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,DNP,
"R11, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
"R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2.2k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,860,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,27k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,10k,
U1,TO-220-3_Horizontal_TabUp,1,LT1084-12,
U2,TO-220-3_Horizontal_TabUp,1,LT1033C,
U4,DIP-8_W7.62mm,1,~,
