Designator,Mid X,Mid Y,Rotation,Layer
C1,143.735297,-82.7,0.0,top
C10,195.7,-66.7,0.0,top
C11,142.417677,-74.9,0.0,top
C12,147.6,-125.4,180.0,top
C13,195.8,-114.8,0.0,top
C14,140.6,-66.1,0.0,top
C15,149.9,-59.6,90.0,top
C17,145.7,-51.2,180.0,top
C2,197.017621,-72.6,0.0,top
C3,146.48238,-132.6,180.0,top
C4,196.917621,-108.3,0.0,top
C5,146.464702,-116.2,180.0,top
C6,143.8,-93.8,0.0,top
C7,146.5,-143.8,180.0,top
C8,111.4,-39.617621,270.0,top
C9,105.2,-38.4,270.0,top
D1,196.225,-33.2,0.0,top
D2,105.2,-22.425,270.0,top
D3,196.625,-146.7,0.0,top
D4,134.72,-27.0,0.0,top
HS1,172.6,-51.8,90.0,top
HS2,172.6,-124.3,90.0,top
J1,42.0,-115.3,90.0,top
J10,199.0,-87.3,90.0,top
J11,199.0,-140.3,90.0,top
J12,199.0,-134.3,90.0,top
J13,199.0,-128.3,90.0,top
J14,199.0,-122.3,90.0,top
J15,123.1,-42.5,90.0,top
J16,123.1,-36.5,90.0,top
J17,123.1,-30.5,90.0,top
J18,123.1,-24.5,90.0,top
J19,42.0,-121.3,90.0,top
J2,42.0,-53.3,90.0,top
J20,42.0,-59.3,90.0,top
J21,150.3,-41.925,0.0,top
J3,199.0,-59.3,90.0,top
J4,199.0,-53.3,90.0,top
J5,199.0,-47.3,90.0,top
J6,199.0,-41.3,90.0,top
J7,199.0,-81.3,90.0,top
J8,199.0,-99.3,90.0,top
J9,199.0,-93.3,90.0,top
M1,138.74,-20.6,180.0,top
PS1,53.0,-23.0,0.0,top
PS2,55.0,-53.9,0.0,top
PS3,55.0,-108.3,0.0,top
Q2,151.9,-28.1,90.0,top
R1,141.772323,-105.7,0.0,top
R10,139.29,-44.8,0.0,top
R11,146.91,-32.8,180.0,top
R2,193.89,-28.7,0.0,top
R3,105.2,-35.41,90.0,top
R4,194.19,-151.1,0.0,top
R5,149.392323,-109.1,180.0,top
R6,146.91,-47.85,180.0,top
R7,146.91,-38.8,180.0,top
R8,139.29,-41.8,0.0,top
R9,146.91,-35.8,180.0,top
TH1,182.8,-52.8,90.0,top
U1,161.69,-54.34,90.0,top
U2,161.69,-126.84,90.0,top
U4,147.0,-62.2,180.0,top
