Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C28, C30, C31, C38, C4, C41",603,8,100n,C14663
"C10, C11, C12, C13",CP_Elec_6.3x5.8,4,100u,C180946
"C16, C18, C24, C27, C3, C40",603,6,10u,C96446
"C25, C26",603,2,220p,C1603
"C29, C32",805,2,47u,C16780
"C37, C39",603,2,10n,C57112
D1,603,1,LED Green,C72043
D2,603,1,LED Red,C2286
D4,D_SMA,1,SS54,C22452
FB1,603,1,FerriteBead_Small,C1002
J1,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,C883270
J4,USB_A_TE_292303-7_Horizontal,1,USB_A,C2763367
J6,EDAC 690-019-298-412,1,690-019-298-412,C138388
J7,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack_Switch,C431534
Q1,SOT-23,1,MMBT3904,C20526
"R1, R13",603,2,0,C21189
"R10, R4, R8, R9",603,4,10k,C25804
R11,603,1,12K 1%,C22790
R15,603,1,100k,C25803
R16,603,1,33k,C4216
"R3, R6",603,2,1k,C21190
"R5, R7",603,2,4.99k,C23046
U1,SOT-23,1,RT9742SNGV,C3235509
U4,TSSOP-24_4.4x7.8mm_P0.65mm,1,CS4270,C1521475
U5,SOT-23-6,1,TPS79301-EP,C2869546
U6,SOT-23-5,1,RT9742GGJ5,C250547
X1,XTAL_ASFL1-8.000MHZ-EC-T,1,12.288MHz,C276419
"J100,J101",HIROSE DF40HC(3.0)-100DS-0.4V,2,HIROSE DF40HC(3.0)-100DS-0.4V,C424649
