Designator,Mid X,Mid Y,Rotation,Layer
C1,3.4,-21.375,90,top
C10,58,-69.5,180,top
C11,58,-62,180,top
C12,60.5,-30,90,top
C13,68,-30,90,top
C16,22.075,-5.1,270,top
C18,22.075,-12.7,270,top
C2,8.5,-21.45,90,top
C24,27.6,-36.025,180,top
C25,23.675,-5.1,270,top
C26,23.675,-12.7,270,top
C27,39.9,-38.025,0,top
C28,27.6,-39.225,180,top
C29,27.6,-41.025,180,top
C3,56.85,-41.2,180,top
C30,39.875,-40.025,0,top
C31,27.6,-42.825,180,top
C32,27.6,-44.625,180,top
C37,32.3,-47.4,270,top
C38,39.975,-32.975,270,top
C39,34.075,-32.875,270,top
C4,27.6,-37.625,180,top
C40,32.475,-32.875,90,top
C41,30.9,-32.875,90,top
D1,55.1,-26.5,90,top
D2,53.5,-26.5,90,top
D4,62,-54.5,0,top
FB1,27.6,-34.425,0,top
J1,69,-43,270,top
J2,40,-7,90,top
J3,1,-80,0,top
J4,68,-14.7,90,top
J5,1,-7.5,0,top
J6,9.5,-32,270,top
J7,70.2,-64.8,180,top
Module1,49,-18,180,top
Q1,15.4,-91.85,0,top
R1,18.875,-12.7,90,top
R10,30.7,-47.4,270,top
R11,56.8,-47.3125,180,top
R13,18.875,-5.1,90,top
R14,19.675,-2.8,0,top
R15,11,-91.8,90,top
R16,12.6,-91.8,90,top
R2,19.675,-10.4,0,top
R3,55.1,-29.6,270,top
R4,27.6,-32.825,0,top
R5,20.475,-5.1,270,top
R6,53.5,-29.6,270,top
R7,20.475,-12.7,270,top
R8,22.875,-2.8,0,top
R9,22.875,-10.4,0,top
SW1,2.75,-95,90,top
U1,5.95,-21,90,top
U10,54,-84,270,top
U4,34.4,-39.1,180,top
U5,37.0375,-32.925,180,top
U6,56.85,-44.3625,270,top
X1,36.4,-47.4125,90,top
J100,15.54,-39.5,90,top
J101,49.46,-39.5,90,top
