Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C17, C2, C26, C3, C38, C4, C5, C6, C7, C8, C9",805,13,22u,C45783
"C11, C12, C13, C18, C20, C24, C25, C28, C29, C30, C31, C32, C33, C34, C35, C44",603,16,100n,C14663
"C14, C15, C27",603,3,10n,C57112
"C16, C19",805,2,47u,C16780
C22,603,1,100p,C14858
C23,603,1,10u,C96446
"D1, D2",D_SOD-323,2,1N5819WS,C191023
"D26, D28, D3, D6",603,4,LED,C2286
D4,SOT-23,1,BAS70-05-7-F,C134376
J1,SAMTEC_SEAM-50-02.0-S-08-2-A-K-TR,1,SEAM-50-02.0-S-08-2-A-K-TR,C6473445
L11,FB_28F0121-0SR-10,1,FERRITE_10A,C6341404
"FB1, FB2, L1, L2, L3, L4, L5, L6, L7, L8, L9",603,11,MI0603J601R-10,C1002
Q1,SOT-23,1,BC846,C20069134
"Q2, Q5",SOT-23,2,BSS138,C7420339
R1,603,1,330,C23138
R10,603,1,200k,C25811
R11,603,1,162k,C22813
"R13, R14, R15, R16, R55",603,5,2.2k,C4190
R18,603,1,31.6k,C4216
"R22, R57",603,2,1k,C21190
"R23, R24, R25, R26, R27, R28, R29, R30",603,8,4.7,C23164
"R31, R32, R33, R34, R35, R36, R37, R38",603,8,499,C23065
"R4, R6",603,2,10k,C25804
"R7, R9",603,2,100k,C25803
"SW1, SW2, SW3",SW_SPST_TL3342,3,SW_Push,C318884
TH1,1206,1,1206L020C,C207035
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U15,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U3,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC,C33196
