Designator,Mid X,Mid Y,Rotation,Layer
C1,121.36,-88.347792,90.0,bottom
C10,111.51,-105.847792,90.0,bottom
C11,135.86,-88.347792,270.0,bottom
C12,137.46,-88.347792,270.0,bottom
C13,113.61,-100.347792,90.0,bottom
C14,143.46,-84.447792,0.0,bottom
C15,152.935,-84.447792,0.0,bottom
C16,107.36,-111.547792,90.0,bottom
C17,111.51,-112.947792,90.0,bottom
C18,109.41,-111.597792,90.0,bottom
C19,111.51,-116.747792,270.0,bottom
C2,123.46,-88.347792,90.0,bottom
C20,109.46,-118.047792,270.0,bottom
C22,114.41,-161.147792,90.0,bottom
C23,124.91,-109.187792,0.0,bottom
C24,124.91,-110.697792,0.0,bottom
C25,132.61,-111.447792,180.0,bottom
C26,132.56,-113.247792,0.0,bottom
C27,133.96,-84.447792,0.0,bottom
C28,145.41,-168.597792,90.0,bottom
C29,142.41,-168.597792,90.0,bottom
C3,125.56,-88.347792,90.0,bottom
C30,139.41,-168.597792,90.0,bottom
C31,136.41,-168.597792,90.0,bottom
C32,133.41,-168.597792,90.0,bottom
C33,130.41,-168.597792,90.0,bottom
C34,127.41,-168.597792,90.0,bottom
C35,124.41,-168.597792,90.0,bottom
C38,131.86,-88.347792,90.0,bottom
C4,127.66,-88.347792,90.0,bottom
C44,115.21,-100.347792,90.0,bottom
C5,129.76,-88.347792,90.0,bottom
C6,133.96,-88.347792,90.0,bottom
C7,117.21,-105.847792,90.0,bottom
C8,115.11,-105.847792,90.0,bottom
C9,117.21,-102.047792,270.0,bottom
D1,114.41,-102.947792,0.0,bottom
D2,109.46,-114.847792,270.0,bottom
D26,107.26,-95.547792,180.0,bottom
D28,107.26,-93.947792,180.0,bottom
D3,107.26,-97.097792,180.0,bottom
D4,121.41,-163.810292,270.0,bottom
D6,107.26,-98.697792,180.0,bottom
FB1,113.31,-105.647792,270.0,bottom
FB2,107.66,-114.847792,90.0,bottom
J1,148.01,-128.347792,90.0,bottom
J3,120.91,-81.047792,90.0,bottom
J4,150.71,-172.547792,270.0,top
L1,132.61,-109.897792,180.0,bottom
L11,116.77,-88.347792,180.0,bottom
L2,145.41,-165.597792,270.0,bottom
L3,142.41,-165.597792,270.0,bottom
L4,139.41,-165.597792,270.0,bottom
L5,136.41,-165.597792,270.0,bottom
L6,133.41,-165.597792,270.0,bottom
L7,130.41,-165.597792,270.0,bottom
L8,127.41,-165.597792,270.0,bottom
L9,124.41,-165.597792,270.0,bottom
Q1,112.11,-157.660292,90.0,bottom
Q2,121.41,-159.910292,270.0,bottom
Q5,139.31,-98.847792,90.0,bottom
R1,110.36,-97.097792,0.0,bottom
R10,115.61,-164.897792,90.0,bottom
R11,121.435,-157.160292,0.0,bottom
R13,117.21,-157.247792,270.0,bottom
R14,118.71,-157.247792,270.0,bottom
R15,117.11,-164.897792,90.0,bottom
R16,118.61,-164.897792,90.0,bottom
R18,118.86,-161.260292,90.0,bottom
R22,110.36,-98.697792,0.0,bottom
R23,146.91,-168.597792,270.0,bottom
R24,143.91,-168.597792,270.0,bottom
R25,140.91,-168.597792,270.0,bottom
R26,137.91,-168.597792,270.0,bottom
R27,134.91,-168.597792,270.0,bottom
R28,131.91,-168.597792,270.0,bottom
R29,128.91,-168.597792,270.0,bottom
R30,125.91,-168.597792,270.0,bottom
R31,146.91,-165.597792,270.0,bottom
R32,143.91,-165.597792,270.0,bottom
R33,140.91,-165.597792,270.0,bottom
R34,137.91,-165.597792,270.0,bottom
R35,134.91,-165.597792,270.0,bottom
R36,131.91,-165.597792,270.0,bottom
R37,128.91,-165.597792,270.0,bottom
R38,125.91,-165.597792,270.0,bottom
R4,112.07,-153.430292,180.0,bottom
R55,110.36,-93.947792,0.0,bottom
R57,110.36,-95.547792,0.0,bottom
R6,112.07,-154.930292,0.0,bottom
R7,112.07,-161.880292,0.0,bottom
R9,112.07,-160.380292,0.0,bottom
SW1,150.16,-80.547792,0.0,bottom
SW2,140.66,-80.547792,0.0,bottom
SW3,131.16,-80.547792,0.0,bottom
TH1,128.76,-109.997792,0.0,bottom
U1,116.96,-114.847792,180.0,bottom
U15,122.71,-103.947792,180.0,bottom
U3,116.46,-161.097792,270.0,bottom
