Designator,Footprint,Quantity,Value,LCSC Part #
"C19, C32, C33, C34, C38, C40, C41",603,7,10n,C57112
"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C37, C39",603,12,100n,C14663
"C30, C31",603,2,1u,C15849
"C35, C36",603,2,27p,C1647
"D10, D11, D12, D13, D14, D3, D4, D5, D6, D7, D8, D9",603,12,PGB1010603,C10677
J5,MOLEX_476591101,1,HDMI_A,C2682172
"Q5, Q6",SOT-23,2,MMBT3904,C20526
"R32, R33",603,2,27,C25190
"R34, R35, R37, R42, R44, R45, R47",603,7,1k,C21190
R36,603,1,10k,C25804
"R38, R39",603,2,100k,C25803
"R40, R41",603,2,33k,C4216
R43,603,1,2.2k,C4190
R46,603,1,3k,C4211
"SW10, SW9",SW_SPST_TL3342,2,SW_Push,C318884
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,C7377
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U6,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
