Designator,Mid X,Mid Y,Rotation,Layer
C19,144.1,-53.825,90.0,top
C20,160.95,-86.725,0.0,top
C21,143.875,-94.675,180.0,top
C22,143.875,-84.175,180.0,top
C23,143.875,-93.175,180.0,top
C24,143.875,-91.675,180.0,top
C25,143.875,-96.175,180.0,top
C26,160.85,-96.225,0.0,top
C27,150.55,-83.275,90.0,top
C28,153.55,-83.275,90.0,top
C29,160.95,-88.225,0.0,top
C30,143.875,-87.175,180.0,top
C31,143.875,-85.675,180.0,top
C32,159.55,-53.575,90.0,top
C33,174.4,-53.225,90.0,top
C34,160.2,-68.375,90.0,top
C35,160.85,-94.725,0.0,top
C36,163.75,-92.325,270.0,top
C37,130.75,-94.875,0.0,top
C38,144.15,-68.425,90.0,top
C39,157.15,-103.275,90.0,top
C40,174.85,-106.625,270.0,top
C41,144.25,-106.525,270.0,top
D10,149.85,-128.675,270.0,top
D11,148.25,-128.675,270.0,top
D12,146.65,-128.675,270.0,top
D13,145.05,-128.675,270.0,top
D14,143.45,-128.675,270.0,top
D3,161.05,-128.675,270.0,top
D4,159.45,-128.675,270.0,top
D5,157.85,-128.675,270.0,top
D6,156.25,-128.675,270.0,top
D7,154.65,-128.675,270.0,top
D8,153.05,-128.675,270.0,top
D9,151.45,-128.675,270.0,top
J1,172.6,-145.375,90.0,bottom
J2,137.15,-113.875,0.0,top
J3,167.45,-113.875,0.0,top
J4,152.3,-113.875,0.0,top
J5,152.3,-136.375,0.0,top
Q5,173.2,-110.225,90.0,top
Q6,142.9,-110.125,90.0,top
R32,143.875,-90.175,180.0,top
R33,143.875,-88.675,180.0,top
R34,160.95,-89.725,0.0,top
R35,135.95,-72.65,90.0,top
R36,133.425,-84.225,180.0,top
R37,135.95,-81.575,270.0,top
R38,169.7,-111.2375,0.0,top
R39,139.45,-111.2375,0.0,top
R40,169.7,-109.725,0.0,top
R41,139.45,-109.7375,0.0,top
R42,158.975,-113.175,180.0,top
R43,146.85,-106.475,90.0,top
R44,146.85,-103.425,90.0,top
R45,158.975,-114.675,0.0,top
R46,158.6,-99.025,270.0,top
R47,160.1,-99.025,90.0,top
SW1,134.65,-55.875,0.0,top
SW10,132.05,-78.875,90.0,top
SW2,149.8,-55.875,0.0,top
SW3,164.95,-55.875,0.0,top
SW4,157.375,-74.875,0.0,top
SW5,142.225,-74.875,0.0,top
SW6,152.3,-102.875,270.0,top
SW7,164.95,-100.375,0.0,top
SW8,134.65,-100.375,0.0,top
SW9,132.05,-69.875,90.0,top
U3,159.135,-108.55,90.0,top
U5,152.3,-90.375,90.0,top
U6,133.95,-91.175,180.0,top
Y1,160.85,-92.225,180.0,top
