Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,100p,C14858
"C10, C2, C23, C3, C6, C7, C8, C9",603,8,100n,C14663
"C11, C12, C4",603,3,1n,C1588
"C13, C14, C24",603,3,10u,C96446
"C16, C17, C18, C22",603,4,1u,C15849
C21,603,1,4.7u,C19666
C26,603,1,47n,C1622
C5,603,1,10n,C57112
"D1, D3, D4",D_SOD-123,3,1N4148W,C81598
"Q1, Q2, Q4, Q5, Q6",SOT-23,5,MMBT3904,C20526
Q9,SOT-23,1,MMBT3906,C107421
R1,603,1,75k,C23242
"R10, R18, R7",603,3,2M,C22976
"R11, R12, R14, R17, R20, R21, R25, R49, R50, R53, R6",603,11,10k,C25804
R13,603,1,300k,C23024
R15,603,1,15k,C22809
"R16, R19, R2, R24, R34, R36, R38, R43, R44, R45, R55, R58",603,12,100k,C25803
"R22, R37",603,2,1M,C22935
"R23, R26, R39",603,3,470k,C23178
"R27, R30, R62",603,3,47k,C25819
"R28, R31",603,2,4.7M,
R29,603,1,3M,
R3,603,1,36k,
R32,603,1,27k,C22967
"R33, R35",603,2,39k,C23153
R4,603,1,2k,C22975
"R40, R41, R54, R8, R9",603,5,4.7k,C23162
"R42, R47, R48",603,3,3k,C4211
"R46, R59",603,2,20k,C4184
R5,603,1,270k,
R51,603,1,200,C8218
R52,603,1,820,C23253
"R56, R57",603,2,150k,C22807
R60,603,1,10,C22859
R61,603,1,470,C23179
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,LM324,C71035
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM386,C23573
