Designator,Mid X,Mid Y,Rotation,Layer
C1,29.575,-32.25,180.0,top
C10,19.4025,-114.83,0.0,top
C11,24.7275,-109.28,270.0,top
C12,26.3275,-109.455,90.0,top
C13,26.3275,-115.58,270.0,top
C14,30.8775,-121.28,180.0,top
C15,11.747349,-121.8,0.0,top
C16,37.7775,-117.18,180.0,top
C17,37.7775,-121.83,180.0,top
C18,40.8275,-120.28,0.0,top
C19,114.5,-67.347349,270.0,top
C2,32.7,-32.25,180.0,top
C20,112.0,-39.852651,90.0,top
C21,39.1,-102.06,0.0,top
C22,113.0,-118.9,270.0,top
C23,97.1,-102.447349,270.0,top
C24,95.55,-102.447349,270.0,top
C25,97.3,-93.5,0.0,top
C26,100.225,-100.347349,180.0,top
C3,32.1,-41.35,180.0,top
C4,29.05,-41.35,180.0,top
C5,37.55,-43.65,90.0,top
C6,25.5775,-120.98,0.0,top
C7,22.0375,-67.2,0.0,top
C8,25.7875,-73.45,90.0,top
C9,20.9275,-111.68,180.0,top
D1,39.76,-39.625,180.0,top
D2,122.73,-69.0,0.0,top
D3,36.3,-93.5,0.0,top
D4,31.3,-93.5,0.0,top
J1,119.0,-115.0,180.0,top
J2,120.25,-37.075,0.0,top
J3,75.0,-122.5,90.0,top
J4,34.5,-6.0,90.0,top
LS1,121.6,-89.71,0.0,top
Q1,26.25,-34.5875,270.0,top
Q10,36.0525,-106.3175,90.0,top
Q2,26.25,-38.5375,270.0,top
Q3,28.85,-44.0875,270.0,top
Q4,19.975,-69.7,180.0,top
Q5,23.9,-69.7,0.0,top
Q6,19.96,-73.2,180.0,top
Q7,22.1775,-108.8425,90.0,top
Q8,29.19,-109.48,0.0,top
Q9,80.8,-96.5,90.0,top
R1,39.76,-31.525,270.0,top
R10,40.7,-43.65,90.0,top
R11,39.1,-43.65,270.0,top
R12,34.45,-43.65,270.0,top
R13,35.4,-41.35,180.0,top
R14,36.0,-43.65,270.0,top
R15,38.15,-36.85,270.0,top
R16,38.35,-45.95,180.0,top
R17,25.5775,-117.88,180.0,top
R18,25.5775,-119.43,180.0,top
R19,25.5775,-122.53,0.0,top
R2,41.36,-31.525,270.0,top
R20,25.5775,-124.08,180.0,top
R21,27.3375,-73.45,270.0,top
R22,22.0375,-65.65,180.0,top
R23,25.0875,-67.2,180.0,top
R24,23.4875,-74.2,180.0,top
R25,17.2375,-73.425,270.0,top
R26,19.5375,-75.75,0.0,top
R27,19.6275,-109.33,90.0,top
R28,23.9775,-111.68,0.0,top
R29,23.9775,-113.23,0.0,top
R3,42.96,-31.525,270.0,top
R30,22.4775,-114.83,0.0,top
R31,26.3275,-112.53,90.0,top
R32,99.0,-64.3,90.0,top
R33,24.2275,-104.38,180.0,top
R34,24.2275,-105.93,180.0,top
R35,21.1775,-105.93,180.0,top
R36,21.1775,-104.38,180.0,top
R37,32.715,-110.23,180.0,top
R38,28.74,-106.93,180.0,top
R39,32.74,-108.63,180.0,top
R4,35.8,-32.25,0.0,top
R40,24.7775,-115.58,90.0,top
R41,30.8775,-122.83,0.0,top
R42,37.7775,-118.73,0.0,top
R43,39.2275,-115.63,180.0,top
R44,36.1775,-115.63,0.0,top
R45,35.4275,-118.53,270.0,top
R46,37.7775,-120.28,0.0,top
R47,125.6,-63.3,0.0,top
R48,122.5,-63.3,0.0,top
R49,80.2,-100.0,90.0,top
R5,38.16,-31.525,90.0,top
R50,83.3,-100.0,270.0,top
R51,81.75,-100.0,90.0,top
R52,36.0525,-102.03,0.0,top
R53,36.0525,-103.58,180.0,top
R54,33.5025,-106.28,270.0,top
R55,35.4275,-113.3,90.0,top
R56,37.7275,-114.05,0.0,top
R57,37.7275,-112.5,0.0,top
R58,106.2,-105.447349,90.0,top
R59,106.2,-102.397349,270.0,top
R6,28.75,-29.95,90.0,top
R60,103.3,-100.347349,180.0,top
R61,59.86,-117.3775,90.0,top
R62,35.06,-29.925,90.0,top
R7,30.3,-29.95,270.0,top
R8,32.7,-30.7,180.0,top
R9,32.1,-42.9,180.0,top
RV1,16.5,-29.5,90.0,top
RV10,121.5,-98.51,0.0,top
RV2,47.5,-29.5,90.0,top
RV3,78.5,-29.5,90.0,top
RV4,32.0,-61.5,90.0,top
RV5,63.0,-61.5,90.0,top
RV6,94.0,-61.5,90.0,top
RV7,109.5,-93.5,90.0,top
RV8,47.5,-93.5,90.0,top
RV9,16.5,-93.5,90.0,top
SW1,119.0,-22.0,180.0,top
SW10,72.46,-107.46,0.0,top
SW2,105.0,-22.0,180.0,top
SW3,8.0,-45.0,0.0,top
SW4,119.0,-54.0,0.0,top
SW5,8.0,-62.0,90.0,top
SW6,105.0,-115.0,180.0,top
SW7,89.0,-108.0,180.0,top
SW8,89.0,-86.0,180.0,top
SW9,75.0,-86.0,0.0,top
U1,32.7,-36.8,90.0,top
U2,30.875,-115.84,0.0,top
U3,101.65,-103.897349,180.0,top
U5,57.3,-114.6,90.0,top
