Designator,Mid X,Mid Y,Rotation,Layer
D1,493.795,-218.24,180.0,top
D2,473.595,-218.34,180.0,top
D3,515.495,-218.24,180.0,top
J1,125.92,-209.93,180.0,top
J10,345.92,-209.93,180.0,top
J11,325.92,-209.93,180.0,top
J12,305.92,-209.93,180.0,top
J13,285.92,-209.93,180.0,top
J14,265.92,-209.93,180.0,top
J15,245.92,-209.93,180.0,top
J16,225.92,-209.93,180.0,top
J17,205.92,-209.93,180.0,top
J18,185.92,-209.93,180.0,top
J19,165.92,-209.93,180.0,top
J2,505.92,-209.93,180.0,top
J20,145.92,-209.93,180.0,top
J21,523.81,-213.64,90.0,top
J22,106.42,-187.94,270.0,top
J3,485.92,-209.93,180.0,top
J4,465.92,-209.93,180.0,top
J5,445.92,-209.93,180.0,top
J6,425.92,-209.93,180.0,top
J7,405.92,-209.93,180.0,top
J8,385.92,-209.93,180.0,top
J9,365.92,-209.93,180.0,top
R1,485.02,-218.24,0.0,top
R2,464.71,-218.34,0.0,top
R3,506.72,-218.24,0.0,top
