Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C7, C8, C9",0603,7,150pF,
C11,0603,1,10pF,
"C12, C5",0603,2,470pF,
"C13, C23, C24, C25, C26, C27, C28, C34, C35, C42, C43, C44, C45, C46, C47, C6",0603,16,100nF,
C14,0603,1,47pF,
"C15, C16, C17, C18, C39, C40",0603,6,22pF,
C19,0603,1,10nF,
"C20, C21, C30, C32, C33",0603,5,100n,
"C22, C38",0603,2,10n,
"C29, C31",0603,2,10uF,
"C36, C37",0603,2,10u,
C4,0603,1,not assembled,
C41,0805,1,47uF,
"D1, D2",SOT-23,2,BB914,
D4,LED_D5.0mm-3,1,LED_Dual_AKA,
"D6, D7",D_SMA,2,SS34,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J2,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,Conn_02x03_Odd_Even,
"J3, J5, J6, J7, J8",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,5,AudioJack2_SwitchT,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"L1, L2",1812,2,1mH CC453232A-102KL,
"R1, R11, R13, R5",0603,4,4.7M,
"R10, R2, R20, R23, R6, R9",0603,6,2.2k,
"R12, R14, R18, R19",0603,4,470,
"R15, R16, R3, R4, R7, R8",0603,6,100k,
"R17, R24, R25",0603,3,10k,
"R21, R22",0603,2,5.1k,
"RV2, RV4, RV5, RV6, RV7",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,5,10k,
SW1,Push_E-Switch_KS01Q01,1,SW_Push,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U11,SOT-23-5,1,LP2985-3.3,
"U12, U7",SOIC-14_3.9x8.7mm_P1.27mm,2,MCP4922-E/SL,
U13,SOT-23-5,1,AD8531ARTZ-R7,
U14,SOT-89-3,1,AP2205R-5.0,
"U2, U3",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC4060D,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC74,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,HEF4069,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP4921-E/SN,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002T-I/SN,
U9,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,
Y1,Crystal_SMD_0603-4Pin_6.0x3.5mm,1,7.3728MHz,
Y2,Crystal_SMD_0603-4Pin_6.0x3.5mm,1,16MHz,
