Designator,Mid X,Mid Y,Rotation,Layer
C1,195.5,-68.4,270.0,bottom
C10,213.1,-68.5,270.0,bottom
C11,214.6,-68.5,270.0,bottom
C12,217.6,-68.5,270.0,bottom
C13,220.0,-73.2,180.0,bottom
C14,197.0,-68.4,270.0,bottom
C15,184.9,-94.53,90.0,bottom
C16,184.9,-91.43,270.0,bottom
C17,184.8,-108.375,90.0,bottom
C18,184.8,-105.275,270.0,bottom
C19,222.1,-118.0,180.0,bottom
C2,191.0,-68.4,270.0,bottom
C20,199.0,-84.7,90.0,bottom
C21,208.835,-118.825,90.0,bottom
C22,208.2,-129.4,270.0,bottom
C23,183.2,-114.6,90.0,bottom
C24,208.2,-81.6,90.0,bottom
C25,182.5,-121.1,180.0,bottom
C26,214.7,-102.4,0.0,bottom
C27,183.3,-100.9,90.0,bottom
C28,201.375,-71.1,180.0,bottom
C29,209.835,-129.4,270.0,bottom
C3,194.0,-68.4,270.0,bottom
C30,209.4,-137.8,0.0,bottom
C31,219.1,-120.4,90.0,bottom
C32,209.4,-136.2,180.0,bottom
C33,229.5,-103.3,180.0,bottom
C34,197.3,-114.6,0.0,bottom
C35,205.535,-111.325,270.0,bottom
C36,200.6,-130.2,90.0,bottom
C37,197.1,-127.7,180.0,bottom
C38,197.1,-132.7,180.0,bottom
C39,199.5,-135.325,270.0,bottom
C4,192.5,-68.4,270.0,bottom
C40,205.325,-135.575,0.0,bottom
C41,202.0,-135.825,180.0,bottom
C42,205.325,-137.175,180.0,bottom
C43,205.325,-138.775,180.0,bottom
C44,212.735,-124.2,270.0,bottom
C45,229.5,-101.6,180.0,bottom
C46,214.7,-104.0,0.0,bottom
C47,210.2,-133.125,270.0,bottom
C5,189.5,-68.4,270.0,bottom
C6,187.1,-72.5,0.0,bottom
C7,210.1,-68.5,270.0,bottom
C8,211.6,-68.5,270.0,bottom
C9,216.1,-68.5,270.0,bottom
D1,186.6,-69.8,0.0,bottom
D2,220.2,-70.4375,270.0,bottom
D4,203.6,-92.4,0.0,top
D6,220.6,-138.5,270.0,bottom
D7,196.7,-137.425,90.0,bottom
J1,183.96,-137.43,270.0,bottom
J3,215.6,-124.175,0.0,top
J4,227.9,-138.725,0.0,bottom
J5,179.6,-124.175,0.0,top
J6,191.6,-124.175,0.0,top
J7,203.6,-124.175,0.0,top
J8,227.6,-124.175,0.0,top
L1,193.6,-63.4,270.0,bottom
L2,213.8,-63.4,270.0,bottom
R1,199.0,-79.825,90.0,bottom
R10,220.4,-134.0,180.0,bottom
R11,183.3,-94.53,270.0,bottom
R12,183.3,-91.43,270.0,bottom
R13,183.2,-108.375,270.0,bottom
R14,183.2,-105.275,270.0,bottom
R15,197.5,-84.7,90.0,bottom
R16,210.435,-118.825,270.0,bottom
R17,207.275,-118.825,270.0,bottom
R18,225.7,-112.2,90.0,bottom
R19,224.1,-112.2,90.0,bottom
R2,199.0,-76.725,270.0,bottom
R20,222.5,-113.9,270.0,bottom
R21,230.1,-132.5,180.0,bottom
R22,225.3,-132.5,0.0,bottom
R23,224.4,-118.4,90.0,bottom
R24,222.8,-124.6,270.0,bottom
R25,224.4,-121.5,270.0,bottom
R3,189.5,-71.4,90.0,bottom
R4,188.7,-74.1,0.0,bottom
R5,208.2,-78.525,90.0,bottom
R6,208.2,-75.425,270.0,bottom
R7,217.6,-71.5,90.0,bottom
R8,215.3,-72.3,0.0,bottom
R9,220.4,-132.5,180.0,bottom
RV2,223.6,-62.29,90.0,top
RV4,220.6,-83.29,90.0,top
RV5,186.6,-83.29,90.0,top
RV6,203.6,-62.29,90.0,top
RV7,183.6,-62.29,90.0,top
SW1,203.55,-104.9,0.0,top
U10,214.775,-136.895,270.0,bottom
U11,197.7,-130.2,180.0,bottom
U12,185.6,-125.7,180.0,bottom
U13,221.85,-120.9625,90.0,bottom
U14,201.2,-139.725,90.0,bottom
U2,178.725,-97.155,90.0,bottom
U3,178.6,-110.85,90.0,bottom
U4,195.075,-109.16,90.0,bottom
U5,203.6,-76.5,270.0,bottom
U6,209.17,-113.55,180.0,bottom
U7,203.6,-85.9,270.0,bottom
U8,209.2,-124.1,0.0,bottom
U9,222.4,-103.55,90.0,bottom
Y1,187.9,-106.8,90.0,bottom
Y2,188.1,-93.0,90.0,bottom
