Designator,Mid X,Mid Y,Rotation,Layer
AE1,180.55,-145.35,270.0,top
C1,177.49,-117.59,90.0,top
C10,175.8,-130.775,270.0,top
C11,171.45,-130.8,270.0,top
C12,175.94,-117.59,90.0,top
C13,180.7,-125.15,90.0,top
C14,164.6,-136.25,0.0,top
C15,168.5,-120.75,180.0,top
C16,179.25,-65.6,0.0,top
C17,170.05,-111.25,0.0,top
C18,174.45,-101.95,180.0,top
C19,175.75,-137.45,270.0,top
C2,174.25,-130.775,270.0,top
C20,167.4675,-92.36,0.0,top
C21,178.0675,-88.66,180.0,top
C3,169.9,-130.8,270.0,top
C4,180.7,-122.15,90.0,top
C5,178.05,-50.7,270.0,top
C6,181.25,-50.7,270.0,top
C7,176.1,-68.0,0.0,top
C8,176.1,-69.55,0.0,top
C9,179.65,-50.7,270.0,top
D1,174.75,-50.35,180.0,top
D2,175.2,-66.0,0.0,top
D3,171.025,-72.05,180.0,bottom
J1,178.78,-84.05,90.0,bottom
J2,168.59,-64.81,180.0,top
J3,178.78,-99.05,90.0,bottom
J4,178.78,-114.05,90.0,bottom
J5,172.3,-144.225,0.0,top
Q2,164.65,-138.55,180.0,top
R1,178.0675,-92.36,0.0,top
R10,170.0,-139.8,180.0,top
R11,174.8,-139.75,0.0,top
R12,167.4675,-86.17,180.0,top
R13,167.4175,-96.97,180.0,top
R14,172.7,-96.95,180.0,top
R15,175.6,-72.8,270.0,top
R2,178.0675,-90.81,180.0,top
R3,168.2175,-88.46,90.0,top
R4,166.6675,-88.46,90.0,top
R5,166.6675,-94.66,270.0,top
R6,168.2175,-94.66,270.0,top
R7,178.8175,-94.66,270.0,top
R8,164.6,-134.75,180.0,top
R9,177.2675,-94.66,270.0,top
U1,175.0925,-56.053,270.0,top
U2,167.8,-105.85,180.0,top
U3,176.65,-107.4,0.0,top
U4,172.7425,-91.55,0.0,top
U5,166.25,-124.3,0.0,top
U6,175.2,-124.2,180.0,top
U8,172.3,-135.9125,90.0,top
